"peak","T3h-Neu-Rep1","T3h-Neu-Rep2","T3h-Neu-Rep3","T6h-Neu-Rep1","T6h-Neu-Rep2","T6h-Neu-Rep3","T12h-Neu-Rep1","T12h-Neu-Rep2","T12h-Neu-Rep3"
"chr4_88284387_88285028",2,74,135,92,170,1,34,7,163
"chr4_88456753_88457373",1,28,71,30,45,3,15,4,79
"chr4_88523324_88524118",2,39,76,30,69,1,21,7,113
"chr4_88592031_88592723",2,50,113,46,110,2,27,5,106
"chr4_89110879_89112024",2,36,103,49,98,1,34,12,153
"chr4_89324609_89325155",0,22,58,30,69,0,15,2,86
"chr4_89829331_89829945",1,14,48,54,68,1,19,1,66
"chr4_90099705_90100271",5,30,125,75,148,1,29,5,163
"chr4_90315017_90315516",0,9,15,15,23,0,10,0,34
"chr4_90328459_90329024",1,13,25,32,64,0,11,5,51
"chr4_92387380_92387901",0,7,16,17,25,0,10,3,27
"chr4_94207328_94208207",4,44,148,70,147,2,38,4,179
"chr4_94451574_94452536",3,50,120,80,124,3,29,5,132
"chr4_94534944_94535512",0,24,31,23,27,0,15,0,43
"chr4_95215773_95216623",0,11,36,26,41,0,12,1,45
"chr4_98143082_98143853",0,39,43,35,58,0,15,2,68
"chr4_98232124_98232683",0,22,65,42,50,0,16,8,54
"chr4_98260370_98261446",2,66,124,74,117,0,33,6,186
"chr4_98467495_98467994",1,12,29,22,18,1,8,1,34
"chr4_98928650_98929524",1,56,136,80,155,0,26,7,176
"chr4_98995044_98995969",0,78,171,112,212,0,41,14,225
"chr4_99563434_99564292",2,70,180,71,154,0,34,13,201
"chr4_99723488_99724043",0,18,47,12,42,2,9,2,37
"chr4_99816472_99817036",1,32,62,24,47,0,14,3,78
"chr4_99894170_99894735",0,33,50,22,49,0,8,0,62
"chr4_99949985_99950856",4,81,149,91,180,0,42,8,175
"chr4_100257512_100258022",4,33,69,30,66,1,11,1,62
"chr4_101103459_101104027",1,21,37,12,28,1,10,2,35
"chr4_101347266_101348289",1,80,160,87,186,4,27,8,213
"chr4_101790460_101791112",2,26,52,23,40,1,13,6,61
"chr4_101981699_101982198",0,20,40,29,44,2,6,2,57
"chr4_102344519_102345811",1,99,148,66,132,1,31,8,190
"chr4_102390392_102390921",4,18,57,24,50,1,12,1,45
"chr4_102501405_102502251",2,42,75,39,75,0,15,5,92
"chr4_102574261_102574767",0,21,34,23,31,1,12,2,58
"chr4_102760190_102761358",0,92,180,94,179,0,61,9,235
"chr4_102826897_102828467",1,182,336,233,414,0,98,28,496
"chr4_102868525_102869491",3,66,158,84,166,0,45,9,201
"chr4_103019383_103019926",0,30,70,34,61,0,15,6,70
"chr4_103076090_103077014",2,26,84,27,59,1,16,6,88
"chr4_103197727_103198719",2,42,95,75,128,0,37,5,134
"chr4_105060461_105061044",2,26,53,22,32,1,20,2,57
"chr4_105473193_105474372",5,58,146,76,140,3,26,13,197
"chr4_105708400_105709065",0,62,116,63,95,0,21,5,115
"chr4_106315773_106316495",2,40,65,29,64,1,11,3,70
"chr4_107719978_107720690",4,83,200,120,247,0,52,18,306
"chr4_107989471_107990087",1,57,96,51,109,0,21,5,163
"chr4_108620103_108620782",1,49,121,77,112,1,13,7,134
"chr4_109433256_109434018",2,36,93,50,87,1,10,3,101
"chr4_109702867_109703894",1,37,81,45,88,1,17,8,126
"chr4_109729612_109730332",1,27,77,46,78,1,13,9,120
"chr4_109815136_109815985",1,42,107,58,117,0,22,11,163
"chr4_110032420_110033002",6,24,69,60,78,2,10,2,91
"chr4_110631737_110632312",1,26,55,58,95,0,18,0,86
"chr4_111641972_111642561",1,19,45,42,56,0,15,5,67
"chr4_112145159_112145911",4,42,62,47,57,1,13,0,73
"chr4_112231275_112232412",3,89,220,138,273,0,63,17,326
"chr4_112285621_112286154",0,22,61,27,50,0,13,4,53
"chr4_112297028_112297556",2,17,52,37,41,1,14,2,49
"chr4_112636738_112637670",0,97,285,172,306,0,54,15,294
"chr4_112817819_112818375",0,24,72,30,56,0,15,3,81
"chr4_113355545_113356165",2,51,99,98,171,0,43,7,156
"chr4_113547443_113547982",3,36,75,53,78,1,11,6,80
"chr4_113837330_113837900",0,19,64,57,82,0,24,5,87
"chr4_114807759_114808346",1,11,32,44,58,0,9,2,51
"chr4_115781623_115782373",3,14,62,72,118,0,17,9,130
"chr4_116016135_116016692",2,16,51,33,44,3,10,5,56
"chr4_116020024_116020623",0,28,91,63,119,0,19,6,117
"chr4_116358481_116359013",3,16,32,36,62,2,14,3,66
"chr4_116531780_116532381",1,14,32,55,69,0,11,0,57
"chr4_117983442_117984013",1,12,30,34,38,0,13,4,48
"chr4_118278418_118278981",0,34,91,62,102,0,28,2,102
"chr4_118591290_118591993",0,27,57,29,63,0,10,3,81
"chr4_118685210_118685863",0,37,66,45,112,1,22,5,114
"chr4_118835031_118835549",1,17,52,18,43,1,13,1,46
"chr4_118967686_118968527",6,18,50,20,41,5,12,2,55
"chr4_119212242_119213205",7,68,150,80,161,1,50,13,204
"chr4_119300431_119300990",1,34,97,54,81,2,20,6,104
"chr4_119370261_119370883",0,30,63,42,74,0,15,5,80
"chr4_119454462_119455085",0,38,58,47,74,0,18,7,108
"chr4_119628390_119629524",3,37,58,60,84,1,17,6,125
"chr4_120066203_120067219",1,77,191,149,272,0,51,23,270
"chr4_120658684_120659263",0,26,67,31,59,0,20,4,77
"chr4_121696454_121697224",5,35,68,36,70,3,20,6,97
"chr4_121800852_121801634",0,42,52,31,53,2,15,7,98
"chr4_121823471_121824241",4,46,106,68,97,2,23,6,98
"chr4_121870030_121870850",0,41,110,75,137,0,37,7,170
"chr4_122152021_122152607",3,29,63,27,60,2,13,1,79
"chr4_122732268_122732862",2,80,163,109,221,1,31,12,242
"chr4_122744111_122744622",3,26,45,18,42,1,8,2,29
"chr4_123396507_123397006",2,33,49,35,40,1,16,0,70
"chr4_123415927_123416451",0,19,38,18,43,0,8,1,49
"chr4_123599794_123600433",2,40,108,62,102,3,19,4,112
"chr4_124262127_124262688",4,13,18,19,21,1,13,4,17
"chr4_124590416_124590916",0,11,27,17,33,0,9,3,42
"chr4_124711356_124711915",4,21,45,47,66,1,21,6,62
"chr4_124712252_124712973",0,29,76,57,97,1,19,5,130
"chr4_125313520_125313749",0,5,27,14,29,0,6,1,25
"chr4_126171973_126172528",2,7,35,40,49,0,17,3,63
"chr4_127162664_127163219",2,24,56,46,79,1,23,2,65
"chr4_127250494_127251053",1,18,39,31,49,0,16,1,59
"chr4_127632629_127633144",5,14,60,29,66,2,10,2,66
"chr4_127781995_127782790",0,40,88,33,76,0,21,4,118
"chr4_127880570_127881368",2,48,115,59,125,0,35,6,149
"chr4_127964919_127965592",2,74,202,125,217,0,45,11,271
"chr4_128060833_128061531",2,69,109,85,147,1,25,10,159
"chr4_128287648_128288436",6,91,236,167,314,1,59,13,344
"chr4_128811810_128812476",1,41,89,55,114,0,20,4,106
"chr4_128916670_128917267",0,20,46,40,50,0,16,2,52
"chr4_129093264_129093932",0,90,200,134,196,0,41,14,237
"chr4_129342789_129343331",0,17,31,27,42,0,10,3,47
"chr4_129623132_129623664",0,19,41,24,26,0,10,5,37
"chr4_136599928_136600161",1,2,8,13,16,0,7,1,19
"chr4_137124227_137124726",0,6,19,24,36,0,5,0,52
"chr4_138242124_138242799",2,40,107,69,107,2,33,6,107
"chr4_138406034_138406705",0,20,58,16,40,1,11,4,57
"chr4_138650703_138651248",0,20,46,32,40,1,7,2,62
"chr4_138775767_138776370",3,15,48,35,50,0,11,0,55
"chr4_139015181_139016079",2,67,118,88,137,3,40,9,190
"chr4_139082757_139083302",1,47,104,57,102,0,22,6,129
"chr4_139083993_139084607",1,36,65,31,59,1,19,8,100
"chr4_139177113_139178375",10,93,150,109,209,5,36,9,240
"chr4_139189058_139189563",1,29,73,16,31,1,9,4,54
"chr4_139295473_139296116",1,24,57,26,49,1,14,4,85
"chr4_139301087_139301815",1,65,132,73,115,2,24,6,168
"chr4_139419279_139419903",1,34,51,19,55,0,11,4,69
"chr4_139453232_139454365",4,102,200,114,237,2,59,11,265
"chr4_140150621_140151595",0,42,88,41,91,1,23,3,119
"chr4_140153961_140154634",1,47,82,32,66,0,12,5,77
"chr4_140373199_140373804",1,74,145,99,182,1,37,7,172
"chr4_140427200_140427943",1,27,63,30,46,2,17,6,64
"chr4_140523776_140524537",1,70,148,93,228,1,34,6,207
"chr4_141220574_141221361",2,40,89,49,108,1,23,4,130
"chr4_141307083_141307638",1,18,41,24,50,1,23,3,73
"chr4_141352995_141353547",2,16,34,27,45,2,10,3,50
"chr4_142405182_142405777",1,15,55,47,49,1,6,6,61
"chr4_142961719_142962308",1,21,66,74,91,3,23,5,99
"chr4_143184341_143185625",2,59,141,100,154,0,28,12,200
"chr4_143336318_143337344",0,30,51,23,44,0,15,6,79
"chr4_143512915_143513633",3,61,124,100,149,1,42,10,170
"chr4_143773913_143774426",3,14,26,33,33,1,5,3,52
"chr4_144338116_144338670",1,22,61,42,72,0,13,2,86
"chr4_144356205_144356757",0,14,39,25,43,0,12,4,56
"chr4_144894451_144895125",0,62,168,91,161,1,30,6,174
"chr4_145097932_145098751",3,46,120,64,112,1,16,1,143
"chr4_145180282_145180912",2,45,94,60,128,0,26,4,130
"chr4_145481531_145482583",3,38,81,37,71,1,11,1,87
"chr4_145619015_145619663",0,33,71,64,100,1,25,5,117
"chr4_146175459_146176007",1,29,67,40,72,1,15,4,73
"chr4_146287847_146288690",0,22,61,17,45,0,12,4,50
"chr4_146521738_146522724",5,44,91,44,122,0,21,6,100
"chr4_146945610_146946159",2,24,42,36,73,2,12,4,55
"chr4_147617037_147618030",1,65,131,89,157,0,32,8,162
"chr4_147683807_147684484",1,39,110,51,142,0,31,8,141
"chr4_147731513_147732533",2,32,71,28,54,1,16,4,80
"chr4_148056826_148057374",2,35,118,86,149,2,31,5,153
"chr4_148442285_148442927",0,55,140,164,240,1,36,7,230
"chr4_151099195_151099772",1,63,173,93,178,0,38,12,217
"chr4_151407642_151408248",3,29,58,33,67,0,15,4,78
"chr4_151760758_151761372",0,54,116,38,117,0,18,4,108
"chr4_151865305_151865830",0,44,92,30,74,0,21,6,90
"chr4_152535929_152536586",3,93,151,113,156,1,40,11,239
"chr4_152643237_152644091",5,30,56,23,45,2,14,3,45
"chr4_152679741_152680251",0,33,85,34,57,1,17,2,78
"chr4_152779600_152780144",2,38,68,41,64,2,21,5,115
"chr4_153344224_153344899",2,30,72,31,50,0,12,1,86
"chr4_153466032_153466909",1,46,83,58,91,0,23,3,113
"chr4_154550133_154550738",2,34,81,71,113,2,27,3,139
"chr4_156329732_156330256",0,8,26,22,33,1,10,2,35
"chr4_156968422_156968973",1,26,50,34,78,0,11,2,62
"chr4_157045448_157046000",0,16,25,25,20,1,8,1,30
"chr4_158209205_158209747",0,17,28,32,39,0,11,2,46
"chr4_158210127_158210807",3,37,68,54,109,0,23,5,128
"chr4_158671730_158672455",1,122,295,215,401,0,93,5,414
"chr4_158722968_158723639",0,14,46,32,62,1,8,2,59
"chr4_158805462_158806039",1,32,54,23,41,1,15,2,51
"chr4_159102758_159103316",0,45,80,57,72,1,18,2,96
"chr4_161419648_161420237",0,21,69,48,102,1,17,2,86
"chr4_161581175_161581754",0,21,53,38,63,0,10,0,68
"chr4_161604560_161605228",1,21,34,28,42,1,12,4,60
"chr4_161650765_161651317",0,9,49,47,56,0,11,2,61
"chr4_163084996_163085554",6,23,39,32,45,3,8,5,38
"chr4_163166352_163167189",0,42,110,62,108,0,20,1,126
"chr4_163494277_163494907",2,57,151,121,157,1,41,5,207
"chr4_163591542_163592125",0,15,47,25,57,0,24,2,72
"chr4_164956631_164957239",0,22,70,47,95,1,9,1,101
"chr4_165112284_165113440",1,63,198,150,306,0,72,12,300
"chr4_165255306_165255901",0,38,67,54,70,0,14,1,95
"chr4_165327212_165327760",3,134,331,291,448,0,80,7,532
"chr4_165378769_165379461",1,29,56,26,48,0,11,1,52
"chr4_165493222_165493754",2,17,19,16,31,0,4,0,39
"chr4_166501838_166502337",1,14,13,16,24,1,8,3,28
"chr4_168318177_168318974",1,19,31,30,57,3,18,0,49
"chr4_168480016_168480740",2,21,81,49,83,0,24,0,102
"chr4_168503971_168504470",0,13,20,15,16,0,7,1,23
"chr4_168881092_168881800",0,53,112,71,128,0,17,3,124
"chr4_169010029_169010635",3,53,151,96,181,0,36,2,168
"chr4_169270399_169271197",0,34,77,36,58,1,11,0,80
"chr4_169410712_169411245",0,25,49,32,39,0,12,1,48
"chr4_169612300_169612917",1,35,90,54,95,2,11,0,94
"chr4_169619956_169620776",0,67,168,95,178,2,35,4,179
"chr4_169757438_169758282",2,34,91,58,96,3,26,4,100
"chr4_170026203_170026726",1,16,31,27,37,0,1,0,42
"chr4_170027122_170027757",1,26,84,38,70,0,19,2,93
"chr4_170089936_170090463",2,13,33,11,26,1,14,1,46
"chr4_170202625_170203182",1,12,41,50,63,0,12,0,72
"chr4_170259503_170260104",3,29,52,47,73,0,19,0,71
"chr4_170374681_170375238",1,18,36,35,61,0,12,0,38
"chr4_170420185_170420851",1,18,51,34,68,0,12,0,67
"chr4_170589541_170590072",0,15,24,18,33,0,4,0,34
"chr4_170990921_170991420",4,10,29,36,44,4,6,2,50
"chr4_173169570_173170327",4,28,61,38,61,2,10,1,75
"chr4_173281273_173282008",3,22,48,35,41,2,12,3,63
"chr4_173334196_173334865",1,120,262,173,345,1,57,3,307
"chr4_173369576_173370135",1,40,76,50,93,1,15,1,106
"chr4_173370520_173371225",3,59,109,86,142,2,30,3,164
"chr4_173416144_173416705",3,32,69,59,72,2,17,1,78
"chr4_173538181_173538916",2,36,75,28,57,1,9,0,71
"chr4_173998629_173999215",0,16,35,36,41,0,12,1,56
"chr4_174282950_174284064",1,56,146,87,146,0,27,4,149
"chr4_174613948_174614571",0,14,62,29,56,1,10,2,61
"chr4_176065510_176066074",0,30,85,80,106,0,32,0,114
"chr4_176089992_176090590",1,18,50,33,58,0,18,0,74
"chr4_176195261_176195951",7,29,92,77,115,1,23,3,128
"chr4_176319543_176320544",1,65,142,121,237,1,40,4,240
"chr4_177249965_177250550",0,29,53,29,62,2,10,1,71
"chr4_177309492_177310375",4,43,109,73,119,1,26,3,141
"chr4_177441768_177442733",2,70,161,94,196,1,46,2,227
"chr4_179398353_179399331",2,29,83,40,49,1,20,4,69
"chr4_180794290_180794804",1,7,32,23,18,1,8,1,32
"chr4_181569462_181569988",0,6,34,25,32,1,12,0,29
"chr4_182809028_182809619",0,45,82,58,112,1,10,4,109
"chr4_182925194_182925755",1,18,36,30,48,0,9,1,45
"chr4_183444200_183444964",3,53,133,71,137,0,36,6,188
"chr4_183504257_183504929",0,69,179,108,221,0,39,7,285
"chr4_183658896_183659720",0,58,128,71,126,0,22,2,128
"chr4_184474474_184475004",0,49,83,43,50,1,9,0,74
"chr4_184537274_184537907",2,35,66,38,60,1,10,3,79
"chr4_184649099_184650060",6,59,85,53,99,1,24,2,140
"chr4_184733935_184734488",0,77,127,93,159,1,33,4,230
"chr4_184792850_184793542",0,35,72,27,37,0,13,4,76
"chr4_184813225_184813861",4,57,96,41,87,0,19,3,94
"chr4_184825941_184827008",8,47,101,34,80,2,23,3,130
"chr4_184833324_184833939",0,22,45,13,36,2,12,2,48
"chr4_185395787_185396854",12,79,135,104,186,6,43,4,229
"chr4_185425701_185426465",3,51,142,65,132,1,46,4,149
"chr4_186190710_186191846",4,50,105,65,124,2,26,2,143
"chr4_186628071_186628613",2,14,38,14,25,0,9,1,37
"chr4_186723010_186723816",2,19,30,15,37,0,12,1,56
"chr4_189940519_189941111",1,16,55,39,66,1,14,1,68
"chr5_217800_218448",6,29,41,31,54,10,9,1,63
"chr5_271227_271888",8,53,63,54,78,11,21,6,136
"chr5_1799540_1800101",11,23,28,26,38,8,9,2,61
"chr5_5422024_5422828",30,66,158,98,200,14,44,5,221
"chr5_6378264_6378861",15,38,87,30,68,14,19,3,68
"chr5_6632866_6633841",10,42,108,51,93,10,24,1,128
"chr5_6712609_6713643",17,72,116,85,164,18,21,4,163
"chr5_6766343_6766959",7,38,82,34,60,7,9,1,63
"chr5_7815970_7816692",11,34,59,22,50,3,13,4,77
"chr5_7868741_7869470",13,44,85,63,109,13,29,2,144
"chr5_8457167_8457886",12,36,76,68,108,10,20,2,125
"chr5_8517339_8517967",9,16,38,28,47,1,15,1,51
"chr5_10249951_10250718",15,38,95,53,77,21,30,4,137
"chr5_10352981_10353854",21,64,133,68,109,16,20,4,166
"chr5_10421757_10422281",3,21,47,12,37,2,9,2,54
"chr5_10441339_10442277",19,46,103,68,135,15,24,1,181
"chr5_10607089_10608144",16,65,121,38,76,10,18,5,122
"chr5_10632243_10632792",17,21,46,21,42,8,16,1,61
"chr5_10635215_10635817",8,21,71,41,79,3,18,2,62
"chr5_10735820_10736435",15,21,43,16,38,5,8,0,34
"chr5_10761057_10761828",26,48,103,55,79,14,18,3,111
"chr5_10854437_10855001",5,21,38,22,56,1,11,3,73
"chr5_13591517_13592068",9,16,42,29,42,7,9,1,28
"chr5_14490161_14490714",6,35,74,22,50,7,18,2,59
"chr5_14581470_14581969",2,21,33,20,31,5,10,0,31
"chr5_14595073_14595668",12,30,73,39,58,4,18,2,66
"chr5_14664157_14664913",17,46,93,68,128,9,32,2,134
"chr5_14700778_14701495",8,32,62,19,47,4,16,0,52
"chr5_14724619_14725130",9,15,41,22,30,6,12,2,34
"chr5_14809613_14810190",10,22,47,33,35,3,10,0,35
"chr5_15683217_15683716",11,8,16,17,31,2,12,3,24
"chr5_16465142_16466250",21,46,90,54,100,18,11,4,108
"chr5_16629249_16629922",7,32,66,27,46,7,14,0,52
"chr5_16935826_16936820",11,40,83,50,81,8,26,3,104
"chr5_17118565_17119180",23,51,132,58,137,9,23,1,140
"chr5_17255345_17256153",7,30,70,40,50,11,16,1,72
"chr5_17413253_17413752",7,18,44,25,20,3,7,2,27
"chr5_18745955_18746526",11,8,27,35,42,6,11,2,64
"chr5_20536736_20537269",10,22,66,40,66,7,12,4,65
"chr5_21459102_21459744",12,31,75,63,93,10,20,3,112
"chr5_22852566_22853203",2,8,26,16,26,3,11,1,31
"chr5_23084677_23085280",3,9,34,40,69,7,16,8,61
"chr5_23208830_23209400",4,19,23,40,38,4,15,2,60
"chr5_24899072_24899615",6,15,29,25,30,3,10,0,41
"chr5_24905052_24905700",15,30,80,55,102,4,20,1,91
"chr5_25544548_25545081",7,8,10,15,40,4,11,1,32
"chr5_26492691_26493398",4,10,31,44,60,12,12,3,67
"chr5_27465061_27465637",6,16,54,48,66,7,12,2,54
"chr5_30040458_30040960",2,9,20,20,20,4,10,0,34
"chr5_30436664_30437197",6,17,36,52,62,7,16,2,71
"chr5_31531890_31532643",22,55,126,97,199,17,29,4,186
"chr5_32173855_32174782",14,42,83,38,63,12,26,5,104
"chr5_32193401_32194092",6,29,56,17,28,9,13,2,51
"chr5_32312730_32313508",40,117,240,167,305,24,48,10,308
"chr5_32444284_32445038",14,27,78,29,55,12,15,0,74
"chr5_32582460_32582991",7,16,37,20,26,3,8,1,42
"chr5_33440455_33441133",19,85,193,140,275,21,51,9,312
"chr5_34007571_34008408",13,46,107,62,126,10,29,5,148
"chr5_34915077_34915916",28,55,122,63,128,11,20,3,148
"chr5_34929066_34930273",27,86,142,76,193,18,31,5,198
"chr5_36151751_36152352",23,62,90,54,119,25,23,2,150
"chr5_36241702_36242468",9,46,102,35,77,13,14,2,102
"chr5_36724735_36725463",12,26,62,18,46,4,12,1,56
"chr5_36876176_36877039",11,44,58,23,70,5,10,3,57
"chr5_39219352_39219954",7,14,51,24,24,7,9,1,63
"chr5_40678980_40680207",21,91,129,82,127,14,32,5,219
"chr5_40755778_40756343",12,20,57,24,53,8,16,3,64
"chr5_40797370_40798569",15,43,83,48,73,15,18,5,115
"chr5_40835001_40835698",20,42,109,55,115,13,17,2,120
"chr5_41870013_41870786",23,46,113,71,105,16,24,4,138
"chr5_41903835_41904496",30,97,236,200,336,36,61,6,334
"chr5_41924931_41925538",7,33,94,65,117,20,29,3,163
"chr5_42423160_42423674",6,11,35,24,35,3,9,1,32
"chr5_42950455_42951080",9,25,49,19,37,5,10,1,44
"chr5_42994694_42995347",14,39,58,36,51,1,24,3,65
"chr5_43007401_43008388",13,43,79,30,70,4,19,6,76
"chr5_43017805_43018480",15,50,79,54,75,7,18,0,87
"chr5_43064612_43065324",19,36,98,60,113,7,21,3,121
"chr5_43105503_43106225",18,31,48,16,41,5,11,0,62
"chr5_43120726_43121792",38,86,166,112,211,24,50,5,255
"chr5_43312920_43314075",48,82,222,171,278,34,45,9,303
"chr5_43389564_43390163",11,25,60,34,43,4,10,1,62
"chr5_43483369_43484629",22,80,131,70,130,17,41,6,190
"chr5_43514926_43515488",9,28,74,46,74,7,19,1,89
"chr5_43556563_43557356",10,49,87,54,73,13,18,0,103
"chr5_43631128_43631751",7,11,31,25,27,1,9,4,33
"chr5_44808488_44809426",27,56,174,155,255,17,46,3,280
"chr5_45696159_45696673",9,21,43,41,63,6,7,2,53
"chr5_50440911_50441608",1,41,78,34,69,2,20,4,97
"chr5_52799867_52800714",6,56,154,110,174,2,31,6,191
"chr5_52948378_52948940",0,16,35,24,38,0,10,2,49
"chr5_53109488_53110128",2,23,65,32,88,0,10,2,113
"chr5_54310331_54310979",0,40,89,59,95,0,12,3,121
"chr5_56909204_56910342",1,42,85,40,85,4,19,3,111
"chr5_57172974_57174011",0,45,86,47,79,2,28,2,133
"chr5_62412370_62413011",0,31,47,47,73,0,14,3,77
"chr5_64768369_64768932",0,19,43,27,44,1,12,4,53
"chr5_65035326_65036069",0,16,38,20,41,0,11,2,72
"chr5_65562892_65563476",1,23,55,23,60,0,13,1,50
"chr5_66143986_66144812",0,17,72,20,68,1,11,1,69
"chr5_69093646_69094173",0,40,67,22,73,0,12,3,88
"chr5_69166726_69167338",0,33,49,20,50,0,13,1,58
"chr5_75336757_75337435",8,46,81,45,101,1,20,3,140
"chr5_75716969_75717791",0,36,46,19,58,0,14,2,79
"chr5_81750809_81751501",0,20,41,24,52,0,9,1,58
"chr5_81971766_81972458",1,15,44,12,35,0,11,0,57
"chr5_83077178_83077809",0,37,91,61,89,0,16,1,108
"chr5_86617610_86618129",3,17,54,45,55,1,12,1,65
"chr5_86880715_86881245",2,9,23,26,51,0,9,0,32
"chr5_87267305_87268730",3,30,69,46,78,0,22,3,81
"chr5_87412672_87413237",0,31,65,71,108,1,21,0,91
"chr5_88141256_88141790",1,23,62,57,93,0,12,1,92
"chr5_88268541_88269197",0,26,77,52,88,0,18,0,74
"chr5_88827124_88827657",0,20,50,36,79,0,20,3,76
"chr5_90409152_90410101",0,48,91,70,126,0,26,1,147
"chr5_90474231_90475012",0,22,82,54,103,0,24,3,137
"chr5_90529227_90530097",0,43,86,65,127,2,19,1,119
"chr5_91383166_91383831",1,23,64,39,78,1,12,2,76
"chr5_91469728_91470236",0,11,23,23,33,0,9,0,25
"chr5_94111369_94111975",0,20,50,32,59,0,10,1,53
"chr5_94618322_94618906",1,15,43,20,33,1,9,0,42
"chr5_95554785_95555410",1,28,65,32,55,0,10,5,72
"chr5_95808760_95809259",3,15,36,9,19,0,8,1,33
"chr5_95961185_95962233",4,47,80,41,105,2,26,1,106
"chr5_96934593_96935469",0,47,79,56,94,1,22,2,129
"chr5_96935613_96936237",0,30,55,21,67,2,21,2,55
"chr5_97183066_97184033",2,30,68,45,78,1,11,1,86
"chr5_98928522_98929911",0,55,143,104,159,2,28,2,190
"chr5_99515869_99516439",0,16,22,23,30,0,9,0,26
"chr5_102296147_102296727",1,25,54,42,78,1,21,1,71
"chr5_103119838_103120544",0,59,117,64,106,0,30,2,134
"chr5_103258354_103259491",0,46,97,85,145,1,31,3,161
"chr5_108381857_108382658",1,35,53,69,84,0,30,3,114
"chr5_108748452_108749147",1,33,77,62,137,0,24,4,160
"chr5_109409816_109410449",0,49,147,102,205,1,38,7,185
"chr5_109688947_109690130",0,34,72,55,112,4,24,3,83
"chr5_110738668_110739351",0,16,39,27,52,0,13,1,46
"chr5_111091966_111092562",0,26,43,38,60,1,11,0,65
"chr5_111512243_111512836",1,25,66,41,61,0,20,4,76
"chr5_111757592_111758494",1,43,64,28,67,2,20,1,93
"chr5_112160540_112161173",0,29,47,25,35,1,6,2,49
"chr5_112976379_112976954",1,26,68,43,73,0,10,0,81
"chr5_115169420_115170334",3,39,75,45,83,1,13,2,113
"chr5_115625835_115626447",0,28,56,42,60,1,18,2,92
"chr5_115841290_115842079",0,28,46,38,40,0,16,1,82
"chr5_118988010_118988887",0,28,100,68,131,0,28,1,142
"chr5_119070631_119071292",0,34,114,54,119,0,25,4,138
"chr5_119268477_119269050",1,16,45,32,60,0,7,2,55
"chr5_119452235_119452758",1,12,35,13,38,0,10,2,42
"chr5_121961657_121962196",2,17,58,41,72,0,12,2,74
"chr5_123423137_123423842",1,40,86,64,109,0,19,3,127
"chr5_123511773_123512364",0,28,81,38,91,0,18,0,97
"chr5_126066759_126067273",0,14,21,44,53,0,10,0,58
"chr5_126776551_126777289",0,21,54,40,66,3,15,1,104
"chr5_126778106_126778715",2,23,52,29,40,1,9,0,60
"chr5_127030301_127030951",0,39,99,38,90,0,26,0,111
"chr5_128537378_128538656",1,60,96,49,115,0,18,1,109
"chr5_129094221_129095157",0,27,70,57,90,0,17,0,113
"chr5_131164987_131165544",1,21,33,17,34,1,6,0,50
"chr5_131170573_131171196",3,43,106,64,123,0,26,6,108
"chr5_131252691_131253241",0,18,50,29,24,0,11,0,65
"chr5_131634954_131635661",0,46,101,74,122,0,21,4,119
"chr5_131796916_131797470",0,19,47,40,68,0,15,1,62
"chr5_132466343_132467171",1,32,75,22,52,0,13,4,83
"chr5_132490620_132491186",0,28,48,27,42,0,10,0,64
"chr5_132556546_132557220",1,17,38,28,44,1,11,0,56
"chr5_134225333_134226590",0,36,62,37,60,0,17,1,109
"chr5_137754206_137754766",0,27,46,29,54,0,17,0,81
"chr5_138464505_138465606",0,56,101,74,128,0,27,5,150
"chr5_138542691_138543556",3,38,80,40,81,0,19,4,105
"chr5_139341431_139342101",4,25,30,18,36,0,12,0,43
"chr5_140214603_140215266",1,30,42,21,34,1,9,1,32
"chr5_140302721_140303407",2,17,54,17,32,1,10,1,50
"chr5_140400935_140401945",0,182,327,223,441,0,78,7,424
"chr5_140547350_140547886",1,27,59,30,48,0,11,0,50
"chr5_140564350_140565029",1,63,98,57,110,1,35,2,143
"chr5_140611904_140612460",3,27,56,34,44,2,11,0,71
"chr5_140639034_140639732",2,48,84,46,90,0,21,1,121
"chr5_140647419_140648052",1,59,113,62,100,0,23,1,114
"chr5_140664406_140665088",1,57,118,70,145,0,43,2,196
"chr5_140691108_140691658",3,33,72,24,69,1,17,3,101
"chr5_140700010_140700672",6,40,61,41,71,6,11,1,68
"chr5_141320086_141321072",6,19,55,34,66,5,12,1,63
"chr5_141564044_141564615",0,23,50,18,34,0,11,1,54
"chr5_141605462_141606184",4,20,58,21,52,1,11,1,67
"chr5_141618703_141619419",3,56,108,92,157,2,22,3,176
"chr5_141636675_141637184",2,36,58,37,52,0,12,2,48
"chr5_141651285_141651555",0,10,10,10,11,1,5,2,17
"chr5_141923488_141924128",4,44,110,55,114,1,18,6,119
"chr5_141968844_141969514",2,52,108,53,134,0,29,1,171
"chr5_142024713_142025216",1,24,46,20,40,1,8,2,83
"chr5_142108538_142109102",2,18,61,22,40,4,8,1,65
"chr5_142324489_142325189",2,31,58,15,25,2,13,2,52
"chr5_142356815_142357444",6,34,56,30,35,2,6,1,60
"chr5_142713061_142713653",0,31,60,24,54,0,13,0,62
"chr5_142769988_142770657",0,76,125,66,135,2,22,4,198
"chr5_142798302_142798953",3,70,107,55,117,2,24,1,135
